bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
1292847181,1167300055,ER4m_R_1292847181,ER4d_L_1167300055,ER4m_R,ER4d_L,ER4m,ER4d,EB,EB,1
1292847181,1167295916,ER4m_R_1292847181,ER4d_R_1167295916,ER4m_R,ER4d_R,ER4m,ER4d,EB,EB,1
1292847181,634608104,ER4m_R_1292847181,PEN_a_L2_634608104,ER4m_R,PEN_a_L2,ER4m,PEN_a,EB,EB,1
1292846965,5813070465,ER4d_L_1292846965,PEN_b_L3_5813070465,ER4d_L,PEN_b_L3,ER4d,PEN_b,EB,EB,1
1292846965,1601771527,ER4d_L_1292846965,PEN_b_R9_1601771527,ER4d_L,PEN_b_R9,ER4d,PEN_b,EB,EB,1
1292846965,1230480261,ER4d_L_1292846965,ER2c_L_1230480261,ER4d_L,ER2c_L,ER4d,ER2,EB,EB,1
1292846965,1199712272,ER4d_L_1292846965,ER2c_L_1199712272,ER4d_L,ER2c_L,ER4d,ER2,EB,EB,1
1292846965,1198675740,ER4d_L_1292846965,ER2c_L_1198675740,ER4d_L,ER2c_L,ER4d,ER2,EB,EB,1
1292846965,1198671672,ER4d_L_1292846965,ER2c_L_1198671672,ER4d_L,ER2c_L,ER4d,ER2,EB,EB,1
1292846965,1198667367,ER4d_L_1292846965,ER2c_L_1198667367,ER4d_L,ER2c_L,ER4d,ER2,EB,EB,1
1292846965,1167904437,ER4d_L_1292846965,ER2c_R_1167904437,ER4d_L,ER2c_R,ER4d,ER2,EB,EB,1
1292846965,1167896065,ER4d_L_1292846965,ER2c_R_1167896065,ER4d_L,ER2c_R,ER4d,ER2,EB,EB,1
